Unnamed: 0,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural,full_address,DPA_POST_TOWN,DPA_STATUS,DPA_MATCH_DESCRIPTION,DPA_THOROUGHFARE_NAME,DPA_Y_COORDINATE,DPA_UPRN,DPA_RPC,DPA_POSTCODE,DPA_ADDRESS,DPA_DEPENDENT_LOCALITY,DPA_X_COORDINATE,DPA_ORGANISATION_NAME,DPA_MATCH,DPA_BUILDING_NAME,DPA_lat,DPA_lng,LPI_STATUS,LPI_ADMINISTRATIVE_AREA,LPI_MATCH,LPI_SAO_START_NUMBER,LPI_USRN,LPI_Y_COORDINATE,LPI_UPRN,LPI_RPC,LPI_POSTCODE_LOCATOR,LPI_TOWN_NAME,LPI_LPI_KEY,LPI_X_COORDINATE,LPI_ADDRESS,LPI_STREET_DESCRIPTION,LPI_PAO_TEXT,LPI_MATCH_DESCRIPTION,LPI_lat,LPI_lng,LPI_SAO_TEXT,LPI_ORGANISATION,DPA_BUILDING_NUMBER,DPA_SUB_BUILDING_NAME,LPI_PAO_START_NUMBER,LPI_LOCALITY_NAME,,
160227,Sacred Heart Roman Catholic Primary School,Foundry Street,Barrow-In-Furness,Cumbria,Sacred Heart Primary School Kitchen,School/college/university,7845,5,,225962,0,,54.110081,38189,56,commercial@barrowbc.gov.uk,Barrow-in-Furness,http://www.barrowbc.gov.uk,-3.21463,LA14 2BA,12/03/2014,fhrs_5_en-GB,5,,FHRS,0,"Sacred Heart Roman Catholic Primary School, Foundry Street, Barrow-In-Furness, Cumbria, LA14 2BA",BARROW-IN-FURNESS,APPROVED,GOOD,LUMLEY STREET,468960,36013556,1,LA14 2BA,"SACRED HEART CATHOLIC PRIMARY SCHOOL, LUMLEY STREET, BARROW-IN-FURNESS, LA14 2BA",,320714,SACRED HEART CATHOLIC PRIMARY SCHOOL,0.9,,-3.214255727,54.11038244,APPROVED,CUMBRIA,1,,1900395,468960,36013556,1,LA14 2BA,BARROW-IN-FURNESS,0910L000009001,320714,"SACRED HEART ROMAN CATHOLIC PRIMARY SCHOOL, FOUNDRY STREET, BARROW-IN-FURNESS, CUMBRIA, LA14 2BA",FOUNDRY STREET,SACRED HEART ROMAN CATHOLIC PRIMARY SCHOOL,EXACT,-3.214255727,54.11038244,,,,,,,,
222061,Compton Chichester West Sussex,,,,Little Green School,School/college/university,7845,5,,147491,0,,50.93733978,92/00107/FOOD,325,environmentalhealth@chichester.gov.uk,Chichester,http://www.chichester.gov.uk,-0.90513742,PO18 9NW,27/09/2013,fhrs_5_en-GB,5,,FHRS,0,"Compton Chichester West Sussex, PO18 9NW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104794,791 High Road,Tottenham,London,,Solmaz,Retailers - other,4613,5,,422736,5,,51.604783,PI/000128065,514,enforcement@haringey.gov.uk,Haringey,http://www.haringey.gov.uk,-0.068641,N17 8AH,13/02/2013,fhrs_5_en-GB,5,,FHRS,0,"791 High Road, Tottenham, London, N17 8AH",LONDON,APPROVED,GOOD,HIGH ROAD,191389,1.00023E+11,1,N17 8AH,"791, HIGH ROAD, LONDON, N17 8AH",,533855,,0.9,,-0.068513791,51.60543654,APPROVED,LONDON BOROUGH OF HARINGEY,1,,21106680,191389,1.00023E+11,1,N17 8AH,LONDON,5420L000034824,533855,"791, HIGH ROAD, TOTTENHAM, LONDON, LONDON BOROUGH OF HARINGEY, N17 8AH",HIGH ROAD,,EXACT,-0.068513791,51.60543654,,,791,,791,TOTTENHAM,,
381537,Pudsey Road,Bramley,Leeds,,Main Line Social Club,Pub/bar/nightclub,7843,10,,320075,0,,53.7961,8225,413,food.safety@leeds.gov.uk,Leeds,http://www.leeds.gov.uk/,-1.62042,LS13 4LS,04/11/2014,fhrs_4_en-GB,4,,FHRS,0,"Pudsey Road, Bramley, Leeds, LS13 4LS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283563,148 St Georges Road,Cheltenham,Gloucestershire,,321 Kebab Burger Pizza,Takeaway/sandwich shop,7844,10,,31993,0,,51.901493,09110/0148/0/000,124,ehbusinesssupport@cheltenham.gov.uk,Cheltenham,http://www.cheltenham.gov.uk,-2.091415,GL50 3EL,18/04/2013,fhrs_4_en-GB,4,,FHRS,0,"148 St Georges Road, Cheltenham, Gloucestershire, GL50 3EL",CHELTENHAM,APPROVED,EXACT,ST. GEORGES ROAD,222561,1.00121E+11,1,GL50 3EL,"148, ST. GEORGES ROAD, CHELTENHAM, GL50 3EL",,393794,,1,,-2.091606285,51.90155591,APPROVED,GLOUCESTERSHIRE,1,,6700125,222561,1.00121E+11,1,GL50 3EL,CHELTENHAM,1605L000044699,393794,"148, ST GEORGES ROAD, CHELTENHAM, GLOUCESTERSHIRE, GL50 3EL",ST GEORGES ROAD,,EXACT,-2.091606285,51.90155591,,,148,,148,,,
57534,The Seven Mile Country Inn,Mansfield Road,Arnold,Nottinghamshire,Seven Mile Beefeater,Restaurant/Cafe/Canteen,1,5,,409151,5,,53.056509,369/313,262,foodsafety@gedling.gov.uk,Gedling,http://www.gedling.gov.uk/,-1.154964,NG15 8FJ,18/10/2013,fhrs_4_en-GB,4,,FHRS,10,"The Seven Mile Country Inn, Mansfield Road, Arnold, Nottinghamshire, NG15 8FJ",NOTTINGHAM,APPROVED,GOOD,MANSFIELD ROAD,350569,1.00031E+11,1,NG5 8PJ,"SEVEN MILE INN, MANSFIELD ROAD, ARNOLD, NOTTINGHAM, NG5 8PJ",ARNOLD,457090,SEVEN MILE INN,0.8,,-1.149807958,53.04934319,APPROVED,NOTTINGHAMSHIRE,0.9,,15003627,350569,1.00031E+11,1,NG5 8PJ,ARNOLD,3020L000057590,457090,"THE SEVEN MILE COUNTRY INN, MANSFIELD ROAD, ARNOLD, NOTTINGHAMSHIRE, NG5 8PJ",MANSFIELD ROAD,THE SEVEN MILE COUNTRY INN,GOOD,-1.149807958,53.04934319,,,,,,,,
195634,,Glebe Road,,Bowness on Windermere,Braithwaite Fold Caravan Site,Retailers - other,4613,0,,299093,0,,54.358258,126,60,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.923221,LA23 3HB,02/04/2013,fhrs_5_en-GB,5,,FHRS,0,"Glebe Road, Bowness on Windermere, LA23 3HB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99103,19 Greenwich Church Street,London,,,Pier Fish Restaurant,Restaurant/Cafe/Canteen,1,5,,694353,5,,51.481055,PI/000067926,511,health@royalgreenwich.gov.uk,Greenwich,http://www.royalgreenwich.gov.uk,-0.010028,SE10 9BJ,27/03/2014,fhrs_5_en-GB,5,,FHRS,0,"19 Greenwich Church Street, London, SE10 9BJ",LONDON,APPROVED,PARTIAL,GREENWICH CHURCH STREET,177665,1.00021E+11,1,SE10 9BJ,"Z, 19, GREENWICH CHURCH STREET, LONDON, SE10 9BJ",,538282,Z,0.7,,-0.01001614,51.48104458,APPROVED,GREENWICH,0.9,,20800684,177665,1.00021E+11,1,SE10 9BJ,GREENWICH,5330L000055354,538282,"PIER FISH RESTAURANT, 19, GREENWICH CHURCH STREET, GREENWICH, SE10 9BJ",GREENWICH CHURCH STREET,,GOOD,-0.01001614,51.48104458,,PIER FISH RESTAURANT,19,,19,,,
149456,145 Park View,Whitley Bay,Tyne And Wear,,Sea Palace,Takeaway/sandwich shop,7844,0,,101906,10,,55.043861,33540/1450/3/000,417,environmental.health@northtyneside.gov.uk,North Tyneside,http://www.northtyneside.gov.uk/,-1.451446,NE26 3RG,20/03/2014,fhrs_4_en-GB,4,,FHRS,5,"145 Park View, Whitley Bay, Tyne And Wear, NE26 3RG",WHITLEY BAY,APPROVED,GOOD,PARK VIEW,572303,47070098,2,NE26 3RG,"NEW DRAGON GARDEN, 145, PARK VIEW, WHITLEY BAY, NE26 3RG",,435149,NEW DRAGON GARDEN,0.9,,-1.451473021,55.04399649,APPROVED,NORTH TYNESIDE,0.9,,28314490,572303,47070098,2,NE26 3RG,WHITLEY BAY,4515L000071262,435149,"SEA PALACE CHINESE TAKE AWAY, 145, PARK VIEW, WHITLEY BAY, NORTH TYNESIDE, NE26 3RG",PARK VIEW,,GOOD,-1.451473021,55.04399649,,SEA PALACE CHINESE TAKE AWAY,145,,145,,,
136226,22 Broadway,London,,,Intercontinential Hotel,Hotel/bed & breakfast/guest house,7842,5,,699193,5,,51.499352,01082/0022/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,-0.132922,SW1H 0BH,14/03/2014,fhrs_5_en-GB,5,,FHRS,5,"22 Broadway, London, SW1H 0BH",LONDON,APPROVED,GOOD,BROADWAY,179482,1.00023E+11,1,SW1H 0BH,"CONRAD LONDON ST. JAMES, 22-28, BROADWAY, LONDON, SW1H 0BH",,529695,CONRAD LONDON ST. JAMES,0.9,22-28,-0.132936174,51.49940574,APPROVED,CITY OF WESTMINSTER,1,,8401082,179482,1.00023E+11,1,SW1H 0BH,LONDON,5990L000102849,529695,"22, BROADWAY, LONDON, CITY OF WESTMINSTER, SW1H 0BH",BROADWAY,,EXACT,-0.132936174,51.49940574,,,,,22,,,
126420,St Josephs R C Nursery And Pri,,George Row,London,Iss caterhouse ltd,School/college/university,7845,0,,363231,0,,51.499699,171622,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069326,SE16 4UP,11/12/2013,fhrs_5_en-GB,5,,FHRS,5,"St Josephs R C Nursery And Pri, George Row, London, SE16 4UP",LONDON,APPROVED,GOOD,GEORGE ROW,179619,2.00003E+11,1,SE16 4UP,"ST. JOSEPHS RC INFANT & JUNIOR SCHOOL, GEORGE ROW, LONDON, SE16 4UP",,534096,ST. JOSEPHS RC INFANT & JUNIOR SCHOOL,0.9,,-0.06951904,51.49961093,ALTERNATIVE,SOUTHWARK,0.9,,22501038,179619,2.00003E+11,1,SE16 4UP,LONDON,5840L000017332,534096,"ST JOSEPHS R C NURSERY & PRIMARY SCHOOL, ST JOSEPHS RC INFANT AND JUNIOR SCHOOL, GEORGE ROW, LONDON, SOUTHWARK, SE16 4UP",GEORGE ROW,ST JOSEPHS RC INFANT AND JUNIOR SCHOOL,GOOD,-0.06951904,51.49961093,,"ST JOSEPHS R C NURSERY & PRIMARY SCHOOL,",,,,,,
121175,4 Lambton Road,Raynes Park,London,,Thisos Convenience Store,Retailers - other,4613,10,,726439,5,,51.410066,PI/000038695,524,EHCommercial@merton.gov.uk,Merton,http://www.merton.gov.uk,-0.229784,SW20 0LR,08/12/2014,fhrs_3_en-GB,3,,FHRS,10,"4 Lambton Road, Raynes Park, London, SW20 0LR",LONDON,APPROVED,GOOD,LAMBTON ROAD,169363,48040858,2,SW20 0LR,"4, LAMBTON ROAD, LONDON, SW20 0LR",,523220,,0.9,,-0.229690918,51.40991118,APPROVED,MERTON,1,,22103711,169363,48040858,2,SW20 0LR,LONDON,5720L000089120,523220,"4, LAMBTON ROAD, RAYNES PARK, LONDON, MERTON, SW20 0LR",LAMBTON ROAD,,EXACT,-0.229690918,51.40991118,,,4,,4,RAYNES PARK,,
70102,100 Orchard Hill,Little Billing,Northampton,,Tracscare 2005 Ltd,Hospitals/Childcare/Caring Premises,5,5,,182220,0,,52.252437,PI/000073362,239,ehadmin@northampton.gov.uk,Northampton,http://www.northampton.gov.uk,-0.822945,NN3 9AG,03/01/2014,fhrs_4_en-GB,4,,FHRS,10,"100 Orchard Hill, Little Billing, Northampton, NN3 9AG",NORTHAMPTON,APPROVED,GOOD,ORCHARD HILL,262433,15007631,1,NN3 9AG,"COMPASS CARE RESIDENTIAL HOME, 100, ORCHARD HILL, LITTLE BILLING, NORTHAMPTON, NN3 9AG",LITTLE BILLING,480296,COMPASS CARE RESIDENTIAL HOME,0.9,,-0.825125303,52.25422069,APPROVED,NORTHAMPTONSHIRE,0.9,,28700910,262433,15007631,1,NN3 9AG,NORTHAMPTON,2825L000067584,480296,"100, ORCHARD HILL, NORTHAMPTON, NORTHAMPTONSHIRE, NN3 9AG",ORCHARD HILL,,GOOD,-0.825125303,52.25422069,,,100,,100,,,
286535,Kernow Meats,4 Boscawen Road,Perranporth,Cornwall,MG Meats,Retailers - other,4613,10,,619513,5,,50.344276,CP13_001442,705,envhealthandlicensing@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,-5.154234,TR6 0EW,24/06/2014,fhrs_4_en-GB,4,,FHRS,5,"Kernow Meats, 4 Boscawen Road, Perranporth, Cornwall, TR6 0EW",PERRANPORTH,APPROVED,GOOD,BOSCAWEN ROAD,54137,1.00041E+11,1,TR6 0EW,"FLAT, 4, BOSCAWEN ROAD, PERRANPORTH, TR6 0EW",,175684,,0.8,,-5.154100134,50.34432658,APPROVED,CORNWALL,0.9,,6100045,54119,1.0004E+11,1,TR6 0EW,PERRANPORTH,0810L000013683,175670,"KERNOW MEATS, 4, BOSCAWEN ROAD, PERRANPORTH, CORNWALL, TR6 0EW",BOSCAWEN ROAD,KERNOW MEATS,GOOD,-5.154285869,50.34415961,,,4,FLAT,4,,,
473886,,37 Commercial Road,Taibach,"Port Talbot, Neath Port Talbot",12 Cafe,Restaurant/Cafe/Canteen,1,5,,64166,5,,51.585663,142064,563,ehd@npt.gov.uk,Neath Port Talbot,http://www.npt.gov.uk,-3.770668,SA13 1LN,18/02/2015,fhrs_5_en-GB,5,,FHRS,0,"37 Commercial Road, Taibach, Port Talbot, Neath Port Talbot, SA13 1LN",PORT TALBOT,APPROVED,EXACT,COMMERCIAL ROAD,188858,1.00101E+11,2,SA13 1LN,"37, COMMERCIAL ROAD, PORT TALBOT, SA13 1LN",,277474,,1,,-3.769887512,51.58521694,APPROVED,NEATH PORT TALBOT,1,,47718367,188858,10014164863,2,SA13 1LN,TAIBACH,6930L000079492,277474,"FIRST FLOOR FLAT, 37, COMMERCIAL ROAD, TAIBACH, NEATH PORT TALBOT, SA13 1LN",COMMERCIAL ROAD,,EXACT,-3.769887512,51.58521694,FIRST FLOOR FLAT,,37,,37,,,
220946,26 Parsons Street,Banbury,Oxfordshire,,May May Thai Oriental Supermarket,Retailers - other,4613,10,,222240,5,,52.061984,11/00004/C,268,public.protection@cherwell-dc.gov.uk,Cherwell,http://www.cherwell.gov.uk,-1.338638,OX16 5LY,12/03/2013,fhrs_4_en-GB,4,,FHRS,5,"26 Parsons Street, Banbury, Oxfordshire, OX16 5LY",BANBURY,APPROVED,GOOD,PARSONS STREET,240603,10011918694,1,OX16 5LY,"THAI RIN, 26, PARSONS STREET, BANBURY, OX16 5LY",,445430,THAI RIN,0.9,,-1.338756288,52.06194894,APPROVED,OXFORDSHIRE,1,,6801141,240603,1.00121E+11,1,OX16 5LY,BANBURY,3105L000078458,445430,"26, PARSONS STREET, BANBURY, OXFORDSHIRE, OX16 5LY",PARSONS STREET,,EXACT,-1.338756288,52.06194894,,,26,,26,,,
127877,Platforms 3 And 4 London Bridg,,Railway Approach,,Upper crust,Restaurant/Cafe/Canteen,1,5,,362774,10,,51.503249,1137,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.084579,SE1 9SP,14/05/2009,fhrs_3_en-GB,3,,FHRS,10,"Platforms 3 And 4 London Bridg, Railway Approach, SE1 9SP",LONDON,HISTORICAL,PARTIAL,RAILWAY APPROACH,180152,2.00003E+11,1,SE1 9SP,"WEST CORNWALL PASTY CO LTD, LONDON BRIDGE STATION, RAILWAY APPROACH, LONDON, SE1 9SP",,532937,WEST CORNWALL PASTY CO LTD,0.7,LONDON BRIDGE STATION,-0.086005597,51.50467422,APPROVED,SOUTHWARK,0.8,,22502040,180152,10000812722,1,SE1 9SP,LONDON,5840L000020099,532937,"COMPASS GROUP PLC RATES SELECT SERVICE PARTNER, KIOSKS ON PLATFORMS 3 AND 4, LONDON BRIDGE RAILWAY STATION, RAILWAY APPROACH, LONDON, SOUTHWARK, SE1 9SP",RAILWAY APPROACH,LONDON BRIDGE RAILWAY STATION,GOOD,-0.086005597,51.50467422,KIOSKS ON PLATFORMS 3 AND 4,COMPASS GROUP PLC RATES SELECT SERVICE PARTNER,,,,,,
168530,298 Park Lane,Macclesfield,Cheshire,,Highfield House Nursing Home,Hospitals/Childcare/Caring Premises,5,0,,641737,0,,53.253052,D07H01298P/1,703,commercialservices@cheshireeast.gov.uk,Cheshire East,http://www.cheshireeast.gov.uk/,-2.134929,SK11 8AE,11/02/2014,fhrs_5_en-GB,5,,FHRS,0,"298 Park Lane, Macclesfield, Cheshire, SK11 8AE",MACCLESFIELD,APPROVED,GOOD,PARK LANE,372847,10007951789,1,SK11 8AE,"HIGHFIELD HOUSE NURSING HOME, 298, PARK LANE, MACCLESFIELD, SK11 8AE",,391040,HIGHFIELD HOUSE NURSING HOME,0.9,,-2.135751397,53.25255684,,,,,,,,,,,,,,,,,,,,,298,,,,,
63223,,Ropewalk,Lincoln,,Enterprise @ Lincoln,Restaurant/Cafe/Canteen,1,5,,330367,5,,53.22638,42980,221,ehcnet@lincoln.gov.uk,Lincoln City,http://www.lincoln.gov.uk,-0.54556,LN6 7DQ,15/04/2014,fhrs_5_en-GB,5,,FHRS,0,"Ropewalk, Lincoln, LN6 7DQ",LINCOLN,APPROVED,PARTIAL,ROPE WALK,370909,235054862,2,LN6 7DQ,"SPARKHOUSE STUDIOS, ROPE WALK, LINCOLN, LN6 7DQ",,497195,SPARKHOUSE STUDIOS,0.7,,-0.545545726,53.22634307,APPROVED,LINCOLNSHIRE,0.8,,23595079,370911,235054863,4,LN6 7DQ,LINCOLN,2515L000055832,497129,"STREET RECORD, BOULEVARD WAY, LINCOLN, LINCOLNSHIRE, LN6 7DQ",BOULEVARD WAY,STREET RECORD,GOOD,-0.546533403,53.2263731,,,,,,,,
